experiment,file,target,peer_key,lat_band,elev_band,split,fold,peer_coverage,arm,net_benefit,precision_at_25,spearman,n,event_rate,git_sha,dirty,seed,content_hash
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kano_Sudan_Savannah,1.0,boosted,-0.0025855210819411313,0.4,0.32731790295028074,1257,0.10103420843277645,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kenya_Rift_Valley,0.47151681537405626,zero,0.0,0.15508021390374332,0.0,748,0.15508021390374332,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kenya_Rift_Valley,0.47151681537405626,persistence,0.022393048128342252,0.28,0.3790051480114672,748,0.15508021390374332,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kenya_Rift_Valley,0.47151681537405626,climatology,0.0,0.15508021390374332,0.0,748,0.15508021390374332,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kenya_Rift_Valley,0.47151681537405626,linear,0.008021390374331552,0.32,0.2846008595071706,748,0.15508021390374332,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat90-elev1000.result.json,level_z,geo_month,90.0,1000.0,spatial,Kenya_Rift_Valley,0.47151681537405626,boosted,0.009024064171122994,0.44,0.17426237682194906,748,0.15508021390374332,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev500.result.json,level_z,geo_month,10.0,500.0,spatial,Kaduna_Grain_Belt,0.9640035118525022,zero,0.0,0.11343283582089553,0.0,1005,0.11343283582089553,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev500.result.json,level_z,geo_month,10.0,500.0,spatial,Kaduna_Grain_Belt,0.9640035118525022,persistence,0.010447761194029855,0.48,0.579236192680697,1005,0.11343283582089553,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev500.result.json,level_z,geo_month,10.0,500.0,spatial,Kaduna_Grain_Belt,0.9640035118525022,climatology,0.0,0.11343283582089553,0.0,1005,0.11343283582089553,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev500.result.json,level_z,geo_month,10.0,500.0,spatial,Kaduna_Grain_Belt,0.9640035118525022,linear,0.016169154228855724,0.48,0.5757179747062013,1005,0.11343283582089553,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev500.result.json,level_z,geo_month,10.0,500.0,spatial,Kaduna_Grain_Belt,0.9640035118525022,boosted,0.028855721393034828,0.32,0.47934457708435674,1005,0.11343283582089553,db654a6,False,42,6c832dc27417
