lat_band,elev_band,target,arm,net_benefit_mean,ci_lo,ci_hi,folds_scored,folds_attempted,donor_Benue_River_Basin,donor_Kaduna_Grain_Belt,donor_Kano_Sudan_Savannah,donor_Kenya_Rift_Valley,cov_Benue_River_Basin,cov_Kaduna_Grain_Belt,cov_Kano_Sudan_Savannah,cov_Kenya_Rift_Valley
20.0,1000.0,within_xy,climatology,0.0,0.0,0.0,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
20.0,1000.0,within_xy,linear,0.040353595557471054,-0.007241709132596672,0.09403093559459252,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
20.0,1000.0,within_xy,boosted,0.02175899687723641,-0.0050614926497901305,0.05418389549715586,4,4,2175,2799,1792,3139,1.0,1.0,1.0,0.47151681537405626
20.0,2000.0,level_z,zero,0.0,0.0,0.0,4,4,2786,2799,2585,3139,1.0,1.0,1.0,0.5483870967741935
20.0,2000.0,level_z,persistence,-0.03495640958852605,-0.08201635558037025,0.012103536403318158,4,4,2786,2799,2585,3139,1.0,1.0,1.0,0.5483870967741935
20.0,2000.0,level_z,climatology,0.0,0.0,0.0,4,4,2786,2799,2585,3139,1.0,1.0,1.0,0.5483870967741935
20.0,2000.0,level_z,linear,-0.01903668399047152,-0.047223270533071335,0.001298124496900651,4,4,2786,2799,2585,3139,1.0,1.0,1.0,0.5483870967741935
20.0,2000.0,level_z,boosted,0.010386271525192465,0.003658755503486327,0.020876190171091744,4,4,2786,2799,2585,3139,1.0,1.0,1.0,0.5483870967741935
20.0,2000.0,within_xy,zero,0.0,0.0,0.0,4,4,2786,2799,2585,3139,1.0,1.0,1.0,0.5483870967741935
20.0,2000.0,within_xy,persistence,-0.0019009094314271016,-0.11856899540902682,0.1147671765461726,4,4,2786,2799,2585,3139,1.0,1.0,1.0,0.5483870967741935
20.0,2000.0,within_xy,climatology,0.0,0.0,0.0,4,4,2786,2799,2585,3139,1.0,1.0,1.0,0.5483870967741935
20.0,2000.0,within_xy,linear,0.02352500590945176,-0.017318929622112334,0.08078350807669564,4,4,2786,2799,2585,3139,1.0,1.0,1.0,0.5483870967741935
20.0,2000.0,within_xy,boosted,0.018624916326069805,-0.0049646238018200665,0.05134555313772287,4,4,2786,2799,2585,3139,1.0,1.0,1.0,0.5483870967741935
90.0,500.0,level_z,zero,0.0,0.0,0.0,4,4,880,705,1792,1421,1.0,1.0,0.8588322246858833,0.25188743994509266
