hhid,intervention_level,predicted_intervention_level,risk_score,yield,land_size,household_size,used_fertilizer,household_max_education,has_extension_access,shock_level,asset_score,transport_cost,received_credit,zone
19125,0,1,0.5,0.657708096534506,0.0,1,0,0.0,0,2.0,5.0,0.0,0.0,3
19129,1,1,0.5,0.25781392182116736,350.0,2,0,16.0,0,2.0,7.0,0.0,0.0,3
19130,1,1,0.5,0.38032068976170225,100.0,1,0,0.0,0,2.0,3.0,0.0,0.0,3
19133,0,0,0.0,0.21355796467395335,100.0,6,1,25.0,0,0.0,20.0,0.0,0.0,3
19136,1,1,0.5,0.24597724710464283,100.0,3,0,16.0,0,0.0,9.0,0.0,0.0,3
19138,0,0,0.0,0.12375456650407589,100.0,3,1,16.0,0,1.0,15.0,1500.0,0.0,3
19139,0,1,0.5,0.06388075592227842,100.0,4,1,26.0,0,1.0,11.0,1300.0,0.0,3
19140,2,2,1.0,0.034295295193577886,100.0,4,1,26.0,0,2.0,8.0,1000.0,0.0,3
19141,0,0,0.0,0.7845452562936486,100.0,3,1,34.0,0,2.0,15.0,2800.0,0.0,3
19143,1,1,0.5,0.10643456048439551,150.0,4,1,26.0,0,2.0,7.0,1500.0,0.0,3
19144,1,1,0.5,0.061928545201759055,100.0,1,1,0.0,0,2.0,6.0,600.0,0.0,3
19158,0,0,0.0,0.13378046027545376,900.0,7,0,26.0,0,2.0,21.0,0.0,0.0,3
19159,1,1,0.5,0.044393930545426896,900.0,3,1,41.0,0,2.0,12.0,1000.0,0.0,3
19160,0,0,0.0,0.10439499376011044,3600.0,5,1,26.0,0,0.0,13.0,800.0,0.0,3
19161,0,0,0.0,0.09472993775584122,3150.0,1,1,16.0,0,0.0,9.0,800.0,0.0,3
19163,0,0,0.0,0.08896276621080501,2700.0,4,1,16.0,0,0.0,14.0,800.0,0.0,3
19164,1,1,0.5,0.06420241254510803,900.0,3,1,26.0,0,2.0,14.0,3000.0,0.0,3
19166,0,0,0.0,0.1083978881746704,2150.0,6,1,41.0,0,0.0,35.0,1000.0,0.0,3
