hhid,intervention_level,predicted_intervention_level,risk_score,yield_original,land_size_original,household_size,used_fertilizer,household_max_education,has_extension_access,shock_level,asset_score,postharvest_activity_score,crop_loss_risk_score,digital_access_score,market_access_score,transport_cost,received_credit,zone
49024,1,1,0.178011723274852,0.0,352.87,-1.446214154747805,0,16.0,0,2.0,-0.4166832419575738,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49025,0,0,0.4125459003785967,0.017541631894991278,308.0,-0.8522171619820733,1,26.0,0,2.0,-0.8683809820882916,-0.07059935230006469,-0.13107973067417975,0.0,0.0,0.555027325282154,0.0,3
49026,1,1,0.2568811480401085,0.12431607748894408,464.93,-1.446214154747805,1,16.0,0,2.0,-0.3037588069248943,0.1650673247260167,-0.13107973067417975,0.0,0.0,0.07070633686027739,0.0,3
49027,0,0,0.13718920558706893,0.17396018132712396,0.0,-0.2582201692163416,1,26.0,0,0.0,0.48671223830386184,-1.2489327374304717,-0.13107973067417975,0.0,3.0,2.2847451410745707,0.0,3
49030,0,0,0.3081665885639976,0.08621144644718212,0.0,-1.149215658364939,1,26.0,0,2.0,0.1479389332058235,-1.2489327374304717,-0.13107973067417975,0.0,3.0,0.20908376212367072,0.0,3
49034,0,2,0.5327535254025586,0.029785544082605243,0.0,-0.8522171619820733,0,23.0,0,2.0,0.1479389332058235,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49035,0,2,0.48302494548999114,0.17340230346596805,0.0,0.3357768235493901,1,26.0,0,2.0,1.6159565886306564,0.8720673558042609,-0.13107973067417975,0.0,0.0,1.2469144515991206,0.0,3
49037,0,0,0.13604554983216696,0.9643821525009645,155.0,0.6327753199322559,1,26.0,0,2.0,0.1479389332058235,-1.2489327374304717,-0.13107973067417975,0.0,3.0,0.20908376212367072,0.0,3
49038,0,2,0.38882924931208374,0.11448983330280271,1091.8,0.03877832716652424,1,26.0,0,2.0,-0.3037588069248943,0.6364006787781795,-0.13107973067417975,0.0,0.0,-0.13685980103481263,0.0,3
49039,0,0,0.3293909913541802,0.6111745643085715,586.21,-1.149215658364939,1,23.0,0,2.0,-0.7554565470556122,0.6364006787781795,-0.13107973067417975,0.0,0.0,0.001517624228580711,0.0,3
49040,0,0,0.12511984071984517,0.0,200.0,-1.149215658364939,1,26.0,0,2.0,3.561644604243726,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49043,0,0,0.24409870199984174,0.34618846500034617,150.0,0.3357768235493901,0,26.0,0,2.0,-0.1908343718922149,-0.3062660293261461,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49045,0,0,0.22197601303560133,0.349770847851709,2100.05,-1.149215658364939,1,26.0,0,2.0,0.8254855434019003,-0.07059935230006469,-0.13107973067417975,0.0,0.0,1.2469144515991206,0.0,3
49046,0,0,0.2861549033084955,0.32817452974946637,3000.0,-1.446214154747805,0,26.0,0,1.0,-0.7554565470556122,0.4007340017520981,-0.13107973067417975,0.0,0.0,0.34746118738706405,0.0,3
49070,0,0,0.20841972737897996,0.0,0.0,0.03877832716652424,0,26.0,0,2.0,0.1479389332058235,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49073,0,0,0.22243204258233937,0.0,0.0,-0.2582201692163416,1,26.0,1,2.0,2.2935031988267336,0.1650673247260167,-0.13107973067417975,0.0,0.0,0.20908376212367072,0.0,3
49085,1,1,0.26485154933195476,0.0,28.96,-0.8522171619820733,0,25.0,0,2.0,-0.8683809820882916,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49086,0,0,0.2213422998478601,0.6364553202965914,124.92,-1.446214154747805,0,16.0,0,2.0,0.03501449817314403,-0.07059935230006469,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49088,0,0,0.1971937547446534,0.4891410682840931,500.0,-0.8522171619820733,0,42.0,0,2.0,-0.1908343718922149,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49090,0,0,0.11653354838131975,0.42666970076231653,175.78,0.03877832716652424,0,34.0,0,2.0,2.8581253739901307,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49091,0,0,0.2082670046303351,0.0,0.0,-0.2582201692163416,0,26.0,0,2.0,0.5996366733365414,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49095,0,0,0.11581406841600546,0.0,1746.24,-0.8522171619820733,0,26.0,0,2.0,2.406427633859413,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49100,0,0,0.15957720589560634,0.0,500.0,-1.149215658364939,0,16.0,0,2.0,-0.5296076769902532,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49102,0,2,0.5516999418612928,0.08227176284081364,0.0,-0.5552186655992074,1,26.0,0,2.0,-0.4166832419575738,-0.07059935230006469,-0.13107973067417975,0.0,0.0,1.5928580147576041,0.0,3
49104,0,0,0.19525706006896218,0.1939906879803007,0.0,0.03877832716652424,1,26.0,0,2.0,1.051334413467259,-1.2489327374304717,-0.13107973067417975,0.0,3.0,0.20908376212367072,0.0,3
49108,0,0,0.26852609851742376,0.05334702909465076,374.81,-0.2582201692163416,0,41.0,0,2.0,0.48671223830386184,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49111,0,0,0.32269107254435686,0.3459541622171327,1147.04,-0.5552186655992074,1,41.0,0,2.0,-0.4166832419575738,0.6364006787781795,-0.13107973067417975,0.0,0.0,1.2469144515991206,0.0,3
49112,0,2,0.47667790298046503,0.28028805521680994,0.0,-0.8522171619820733,0,43.0,0,2.0,1.503032153597977,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49113,0,0,0.09353148270099422,0.06643670171067341,3538.41,0.6327753199322559,1,26.0,0,2.0,3.3098231141208485,-1.2489327374304717,-0.13107973067417975,1.0,0.0,0.20908376212367072,0.0,3
49114,0,0,0.14866599296983088,0.03644349926979807,1000.0,0.03877832716652424,1,27.0,0,2.0,1.6159565886306564,-0.07059935230006469,-0.13107973067417975,0.0,0.0,0.9009708884406373,0.0,3
49126,0,2,0.48185853635144466,0.06737598506333922,0.0,-0.8522171619820733,0,26.0,0,2.0,-0.1908343718922149,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49129,0,0,0.235408254753989,0.01717557251908397,1048.0,0.6327753199322559,0,42.0,0,2.0,0.03501449817314403,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49130,0,0,0.16556644491975595,1.1718419700571368,13255.7,1.5237708090808535,1,41.0,0,2.0,1.277183283532618,-0.5419327063522275,-0.13107973067417975,0.0,0.2,1.5928580147576041,0.0,3
49131,0,0,0.28792023957116936,0.6374060789668388,0.0,0.3357768235493901,1,23.0,0,2.0,0.03501449817314403,-1.2489327374304717,-0.13107973067417975,1.0,0.2,2.9766322673915373,0.0,3
49132,0,0,0.09212129749891991,0.12041744715012041,200.0,-1.149215658364939,0,16.0,0,2.0,3.561644604243726,-1.2489327374304717,-0.13107973067417975,0.0,0.0,-0.482803364193296,0.0,3
49133,0,0,0.24807353970061605,0.2298025536750408,1600.0,0.9297738163151218,1,26.0,0,2.0,3.561644604243726,-1.2489327374304717,-0.13107973067417975,0.0,2.0,2.2847451410745707,0.0,3
49136,0,0,0.21083487398145814,0.40972354912181896,6658.2,-0.5552186655992074,1,26.0,1,2.0,0.03501449817314403,-1.2489327374304717,-0.13107973067417975,1.0,2.1666666666666665,2.9766322673915373,0.0,3
49137,0,0,0.35966898294124877,0.37076179862772185,5035.030000000001,0.6327753199322559,1,43.0,0,2.0,-0.8683809820882916,-1.2489327374304717,-0.13107973067417975,1.0,2.0,2.9766322673915373,0.0,3
50001,1,1,0.07559651631313173,0.04128413805948877,100.0,-0.5552186655992074,1,34.0,0,2.0,0.7125611083692208,0.4007340017520981,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50002,0,1,0.11132313793447195,0.6172377694283779,40.0,0.9297738163151218,1,23.0,0,2.0,-0.4166832419575738,0.8720673558042609,-0.13107973067417975,0.0,2.1666666666666665,-0.482803364193296,0.0,1
50003,0,1,0.11347457746942309,0.31213194956733387,80.0,0.9297738163151218,1,26.0,0,2.0,-0.1908343718922149,0.4007340017520981,-0.13107973067417975,0.0,3.0,-0.482803364193296,0.0,1
50004,0,0,0.15569001318319722,0.07234327504774193,4046.86,0.3357768235493901,1,26.0,0,2.0,0.3737878032711824,0.6364006787781795,-0.13107973067417975,1.0,0.2,0.34746118738706405,0.0,1
